Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
20,Sat,03/01/2026,12:30,Aston Villa,Nottingham Forest,"43,039",Villa Park,Simon Hooper,Match Report,
20,Sat,03/01/2026,15:00,Brighton,Burnley,"31,373",The American Express Stadium,Tim Robinson,Match Report,
20,Sat,03/01/2026,15:00,Wolves,West Ham United,"29,874",Molineux Stadium,Peter Bankes,Match Report,
20,Sat,03/01/2026,17:30,Bournemouth,Arsenal,"11,240",Vitality Stadium,Chris Kavanagh,Match Report,
20,Sun,04/01/2026,12:30,Leeds United,Manchester Utd,"36,909",Elland Road,Jarred Gillett,Match Report,
20,Sun,04/01/2026,15:00,Tottenham Hotspur,Sunderland,"60,877",Tottenham Hotspur Stadium,Stuart Attwell,Match Report,
20,Sun,04/01/2026,15:00,Everton,Brentford,"52,514",Hill Dickinson Stadium,Anthony Taylor,Match Report,
20,Sun,04/01/2026,15:00,Newcastle United,Crystal Palace,"51,979",St James' Park,John Brooks,Match Report,
20,Sun,04/01/2026,15:15,Fulham,Liverpool,"27,547",Craven Cottage,Craig Pawson,Match Report,
20,Sun,04/01/2026,17:30,Manchester City,Chelsea,"52,471",Etihad Stadium,Michael Oliver,Match Report,
