Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
28,Fri,27/02/2026,20:00,Wolves,Aston Villa,"30,197",Molineux Stadium,Craig Pawson,Match Report,
28,Sat,28/02/2026,12:30,Bournemouth,Sunderland,"11,240",Vitality Stadium,Jarred Gillett,Match Report,
28,Sat,28/02/2026,15:00,Burnley,Brentford,"20,069",Turf Moor,Samuel Barrott,Match Report,
28,Sat,28/02/2026,15:00,Liverpool,West Ham United,"60,425",Anfield,Tim Robinson,Match Report,
28,Sat,28/02/2026,15:00,Newcastle United,Everton,"52,514",St James' Park,Stuart Attwell,Match Report,
28,Sat,28/02/2026,17:30,Leeds United,Manchester City,"36,838",Elland Road,Peter Bankes,Match Report,
28,Sun,01/03/2026,14:00,Brighton,Nottingham Forest,"31,427",The American Express Stadium,Andy Madley,Match Report,
28,Sun,01/03/2026,14:00,Manchester Utd,Crystal Palace,"73,934",Old Trafford,Chris Kavanagh,Match Report,
28,Sun,01/03/2026,14:00,Fulham,Tottenham Hotspur,"27,439",Craven Cottage,Thomas Bramall,Match Report,
28,Sun,01/03/2026,16:30,Arsenal,Chelsea,"60,296",Emirates Stadium,Darren England,Match Report,
